Tarefa,Início,Fim,Responsável,Completo
Definição dos objetivos e resultados esperados,2023-05-01,2023-05-29,Pré-visitas,100
Definição das comunidades,2023-05-01,2023-05-29,Pré-visitas,100
Articulação com as comunidades,2023-05-01,2023-05-29,Pré-visitas,100
Elaboração dos itinerários,2023-06-01,2023-06-29,Pré-visitas,100
Definição e planejamento logístico,2023-06-01,2023-06-29,Pré-visitas,100
Aprovação Somo Um e Pacto Global,2023-06-01,2023-06-29,Pré-visitas,100
Preparação dos materiais de preparação para APP Conexão ODS,2023-07-01,2023-07-29,Pré-visitas,100
Orientação aos pontos focais das comunidades,2023-07-01,2023-07-29,Pré-visitas,100
Orientação aos monitores da Somos Um e Staff,2023-07-01,2023-07-29,Pré-visitas,100
Inscrições dos participantes,2023-08-01,2023-08-29,Pré-visitas,100
Confirmações Finais,2023-08-01,2023-08-29,Pré-visitas,100
Realização das visitas,2023-08-01,2023-08-29,visitas,0
Avaliação de satisfação,2023-08-01,2023-08-29,visitas,0
Elaboração do relatório final,2023-08-01,2023-08-29,Pós-visitas,0
Divulgação dos resultados,2023-08-01,2023-08-29,Pós-visitas,0
Lições Aprendidas,2023-08-01,2023-08-29,Pós-visitas,0
